"Genes","Rank"
"IL17RA",114
"C6orf132",166
"GIT1",58
"RHPN1",249
"PAQR8",355
"PXMP3",410
"CCDC85C",495
"ARPM1",709
"HSPA6",243
"C6",504
"WDR13",909
"DMRTA2",361
"CROT",502
"TP53TG1",603
"MUC4",656
"HPS3",275
"FABP3",523
"ARHGAP25",828
"NLRP12",943
"TTC39A",150
"KCNH7",330
"ZNF782",666
"PXMP2",804
"DNAJC28",288
"MFHAS1",616
"SNORA71C",642
"C16orf11",694
"BPI",414
"HBII.52.45",24
"UBASH3B",316
"WNT10B",725
"ERBB4",123
"DRD3",141
"SGCG",339
"MAGEA5",629
"LMOD1",723
"ESX1",586
"OR1C1",758
"TSR2",809
"MIR892A",870
"GTF3C4",142
"MIR490",422
"RPS6KC1",795
"C13orf36",821
"TRPM3",838
"MRPL45",552
"HRK",124
"TGFB2",281
"HCN4",696
"BZRAP1",67
"LCE1A",248
"SNAP91",298
"BOLL",579
"CCNH",265
"PLP2",326
"C4orf36",578
"ENDOD1",720
"RAET1E",766
"HMGA2",819
"SLCO6A1",897
"KIAA1598",589
"ACTN2",657
"GUCA1A",808
"OR2W1",310
"PSMB7",479
"HOTAIR",950
"LGALS3",312
"CHDH",562
"PTPRD",471
"EIF4G1",555
"OR2J2",183
"GPR6",557
"ANKRD34C",746
"RAPGEF3",203
"DEFB121",263
"TRIM10",420
"IRS4",883
"SH2D3C",496
"FMO1",914
"HYDIN",188
"SH3YL1",322
"REPS1",731
"LHPP",131
"ANKRD6",374
"CDC25B",602
"IER5",89
"ZNF391",126
"PAH",162
"MIR1260",521
"TMEM187",685
"DNAH8",866
"LIX1L",102
"HCFC1",117
"RP2",397
"ZFP112",647
"ADAMTS1",727
"PORCN",13
"GPC5",197
"EML1",434
"MDGA2",595
"GRAMD1B",864
"DCK",915
"ZNF804B",336
"GAGE2A",493
"B3GALNT2",674
"RRN3P2",865
"RGS7",234
"ZCCHC12",407
"INS.IGF2",717
"GEFT",47
"PTPRG",65
"LEMD1",934
"SCGB3A1",278
"CHSY1",329
"GPRC5C",718
"MLN",859
"MTMR6",315
"S100A1",457
"S100A13",511
"ST3GAL4",343
"C18orf34",51
"CDKL1",140
"PRR4",226
"ZNF19",277
"NODAL",145
"CNPY1",149
"SPINK7",178
"MAGI1",428
"ADAMTS9",500
"SDHAF1",501
"LRRC17",678
"ERCC6L",700
"PIN4",742
"ATP1A3",480
"EIF4H",550
"FBXO44",689
"CDKN2A",729
"TUBB6",805
"FAM107B",388
"C5orf52",453
"C16orf86",743
"ARL4C",869
"BZW2",932
"PDZD8",181
"PTRF",456
"SBF1P1",905
"PCBP3",713
"SHKBP1",820
"CACNA1D",170
"ATP4B",256
"GFPT2",622
"LOC146336",481
"MAP9",301
"ANKRD34A",455
"X5.Sep",810
"C1orf114",211
"SFT2D3",510
"VSIG2",929
"LRRC67",935
"TSPAN9",104
"ZFYVE9",109
"COL5A2",190
"MBD3L1",272
"CSTF2",59
"XRCC3",287
"C7orf13",22
"FZR1",187
"IRGQ",383
"C2orf69",800
"HOXD11",618
"CDYL",697
"BHLHE23",539
"GPX5",788
"TNR",706
"DMBT1",53
"EFHC2",80
"TAS2R16",492
"C2orf16",665
"DOCK5",884
"ADSSL1",451
"HPRT1",672
"C22orf9",185
"PI3",335
"DPM2",516
"ATAD5",703
"C11orf17",619
"PLA2G2A",855
"CRYAA",279
"DENND5A",444
"TFF1",449
"IL1RN",484
"RHOBTB2",936
"PRCC",258
"GCLC",744
"SLC16A5",802
"APOLD1",227
"LIG4",232
"IGF1",636
"LOC84740",874
"PNMA5",184
"C14orf64",20
"ACO2",209
"THRSP",485
"C20orf160",157
"FOXD2",394
"PTK7",490
"ACBD4",534
"SLC39A6",677
"ELP2",741
"IMMT",698
"KRT28",721
"SLC25A43",882
"IL18RAP",119
"ISLR2",824
"BARX1",868
"HGFAC",817
"NYX",158
"SHANK2",293
"JAKMIP1",351
"FLG",138
"KCTD6",459
"SLC22A25",945
"LRRC8E",668
"DNER",45
"ANKRD19",118
"SYCE1",38
"ZNF816A",598
"ZNF541",345
"LRP11",476
"ZFYVE21",626
"MIR377",712
"BCL2L11",832
"MORC1",14
"MT2A",302
"LOC100302401",710
"ALDH1L1",327
"ANKRD9",156
"SNORD116.2",745
"OR10K2",918
"MIR891B",60
"APRT",475
"TPRG1",893
"FGF19",160
"GRXCR1",76
"CSRP1",255
"BTLA",683
"MIR934",78
"C3orf52",196
"CHKB.CPT1B",688
"CPT1B",218
"VN1R2",340
"STAG3",344
"CATSPER1",546
"VAMP8",601
"GPR62",532
"DTD1",61
"SLC34A2",10
"RNH1",615
"RTN4RL1",252
"LCE2D",835
"LOC643719",208
"FLNB",382
"SOLH",565
