"Genes","Rank"
"RALGAPB",241
"AES",242
"SLC25A39",101
"BRPF1",1445
"SPECC1L",1449
"NIPSNAP3B",213
"PDS5B",215
"ARHGDIA",463
"FKBP1B",1348
"MFSD5",202
"MTMR3",317
"NPFF",319
"MINK1",1340
"FAM53B",1368
"NUPL2",1419
"NSUN5P2.1",68
"SH3TC2",104
"FAM193B",374
"ACVR2B",399
"ZNF12",389
"ZNF71",61
"RCOR3",120
"PLD3",240
"OSBP2",223
"BCKDK",1402
"GPNMB",285
"ERCC5",1370
"SCAI",1389
"LRRK1",1421
"ZNF609",30
"FKBP3",376
"SBNO1",89
"U2AF1",183
"ZNF493",184
"DNAJC3",210
"ROCK1",72
"PALM2",281
"RABL2A",283
"UBE2C",116
"NEU3",1426
"MYBL1",185
"TRIM52",136
"AP2A1",193
"EML3",192
"DIAPH1",1385
"NEK7",150
"PCBP2",403
"DNAJC10",1406
"GAP43",7
"SOGA2",1394
